HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Melrose Park, IL",2902.00,334.00,1122.00,2012.00,137.00,236.00,1031510.00,185204.00,412604.00,85433.00,18238.00,5696.00,5.08,2.83,1.96,2848.00,2.54,1.42,0.98,1857.00,1.66,0.92,0.64,1216.00,8.88,5.15,3.64,608.00,4.44,2.58,1.82,396.00,2.89,1.68,1.19
"Memphis, TN",5054.00,543.00,2045.00,3549.00,139.00,341.00,1366198.00,246308.00,546479.00,113191.00,24174.00,7546.00,3.69,2.13,1.49,3773.00,1.84,1.06,0.75,2461.00,1.20,0.69,0.49,1612.00,11.60,4.73,2.97,806.00,5.80,2.36,1.48,526.00,3.78,1.54,0.97
"Meridian, MS",1117.00,57.00,445.00,781.00,19.00,38.00,148060.00,32340.00,59224.00,12481.00,2722.00,832.00,1.87,1.07,0.74,416.00,0.93,0.53,0.37,271.00,0.61,0.35,0.24,181.00,9.53,4.76,3.18,91.00,4.79,2.39,1.60,59.00,3.11,1.55,1.04
"Mesa, AZ",2091.00,291.00,648.00,1370.00,108.00,200.00,1135619.00,212738.00,454248.00,94391.00,20238.00,6293.00,9.71,4.59,3.01,3146.00,4.85,2.30,1.50,2052.00,3.17,1.50,0.98,1349.00,12.49,6.75,4.64,675.00,6.25,3.38,2.32,440.00,4.07,2.20,1.51
"Metairie, LA",857.00,111.00,406.00,631.00,44.00,78.00,366346.00,76217.00,146538.00,30738.00,6666.00,2049.00,5.05,3.25,2.39,1025.00,2.52,1.62,1.20,668.00,1.65,1.06,0.78,444.00,10.09,5.69,4.00,222.00,5.05,2.85,2.00,145.00,3.30,1.86,1.31
"Miami, FL",9139.00,981.00,2952.00,6045.00,280.00,630.00,2741481.00,526396.00,1096592.00,228356.00,49088.00,15224.00,5.16,2.52,1.67,7612.00,2.58,1.26,0.83,4964.00,1.68,0.82,0.54,3273.00,11.69,5.20,3.34,1636.00,5.84,2.60,1.67,1067.00,3.81,1.69,1.09
"Milwaukee, WI",5263.00,818.00,2207.00,3735.00,323.00,570.00,2079205.00,380644.00,831682.00,172484.00,36894.00,11499.00,5.21,3.08,2.18,5749.00,2.60,1.54,1.09,3750.00,1.70,1.00,0.71,2460.00,7.62,4.32,3.01,1230.00,3.81,2.16,1.50,802.00,2.48,1.41,0.98
"Minneapolis, MN",6954.00,612.00,2458.00,4706.00,238.00,425.00,2570355.00,478271.00,1028142.00,213521.00,45749.00,14235.00,5.79,3.02,2.05,7117.00,2.90,1.51,1.02,4642.00,1.89,0.99,0.67,3050.00,12.82,7.18,4.98,1525.00,6.41,3.59,2.49,995.00,4.18,2.34,1.63
"Minot, ND",916.00,19.00,384.00,650.00,9.00,14.00,112434.00,19303.00,44974.00,9279.00,1972.00,619.00,1.61,0.95,0.68,309.00,0.80,0.48,0.34,202.00,0.53,0.31,0.22,131.00,14.56,9.36,6.89,66.00,7.33,4.71,3.47,43.00,4.78,3.07,2.26
"Missoula, MT",1002.00,79.00,455.00,729.00,39.00,59.00,315091.00,74302.00,126036.00,26770.00,5891.00,1785.00,3.92,2.45,1.78,892.00,1.96,1.22,0.89,582.00,1.28,0.80,0.58,393.00,10.08,6.66,4.97,196.00,5.03,3.32,2.48,128.00,3.28,2.17,1.62
"Mobile, AL",2066.00,282.00,695.00,1380.00,101.00,191.00,648957.00,135227.00,259583.00,54459.00,11812.00,3631.00,5.22,2.63,1.76,1815.00,2.61,1.32,0.88,1184.00,1.70,0.86,0.57,787.00,7.79,4.12,2.79,394.00,3.90,2.06,1.40,257.00,2.54,1.35,0.91
"Modesto, CA",1478.00,118.00,467.00,972.00,44.00,81.00,680976.00,119559.00,272390.00,56297.00,11991.00,3753.00,8.04,3.86,2.54,1877.00,4.02,1.93,1.27,1224.00,2.62,1.26,0.83,799.00,18.16,9.86,6.77,400.00,9.09,4.94,3.39,261.00,5.93,3.22,2.21
"Monroe, LA",1064.00,102.00,561.00,813.00,36.00,69.00,204787.00,41070.00,81915.00,17125.00,3698.00,1142.00,2.04,1.40,1.07,571.00,1.02,0.70,0.54,372.00,0.66,0.46,0.35,247.00,6.86,3.58,2.42,123.00,3.42,1.78,1.21,80.00,2.22,1.16,0.78
"Montgomery, AL",1225.00,131.00,461.00,843.00,61.00,96.00,360863.00,68023.00,144345.00,30010.00,6439.00,2001.00,4.34,2.37,1.63,1000.00,2.17,1.19,0.82,652.00,1.41,0.77,0.53,429.00,7.03,4.47,3.27,215.00,3.52,2.24,1.64,140.00,2.30,1.46,1.07
"Morgantown, WV",1555.00,155.00,499.00,1027.00,40.00,97.00,329288.00,68760.00,131715.00,27639.00,5996.00,1843.00,3.69,1.79,1.19,921.00,1.85,0.90,0.59,601.00,1.20,0.59,0.39,400.00,10.00,4.12,2.58,200.00,5.00,2.06,1.29,130.00,3.25,1.34,0.84
"Morristown, NJ",1862.00,147.00,589.00,1226.00,54.00,101.00,795142.00,157620.00,318057.00,66420.00,14327.00,4428.00,7.52,3.61,2.38,2214.00,3.76,1.81,1.19,1444.00,2.45,1.18,0.78,955.00,17.69,9.46,6.50,478.00,8.85,4.73,3.25,311.00,5.76,3.08,2.12
"Muncie, IN",377.00,36.00,129.00,253.00,8.00,22.00,128803.00,27663.00,51521.00,10840.00,2359.00,723.00,5.60,2.86,1.92,361.00,2.80,1.43,0.96,236.00,1.83,0.93,0.63,157.00,19.63,7.14,4.36,79.00,9.88,3.59,2.19,51.00,6.38,2.32,1.42
"Munster, IN",1500.00,105.00,642.00,1071.00,42.00,74.00,239843.00,45234.00,95937.00,19947.00,4280.00,1330.00,2.07,1.24,0.89,665.00,1.04,0.62,0.44,434.00,0.68,0.41,0.29,285.00,6.79,3.85,2.71,143.00,3.40,1.93,1.36,93.00,2.21,1.26,0.89
"Muskegon, MI",501.00,57.00,253.00,377.00,40.00,49.00,209507.00,45654.00,83803.00,17657.00,3849.00,1177.00,4.65,3.12,2.35,589.00,2.33,1.56,1.18,384.00,1.52,1.02,0.77,257.00,6.43,5.24,4.51,128.00,3.20,2.61,2.25,84.00,2.10,1.71,1.47
"Napa, CA",456.00,70.00,152.00,304.00,41.00,56.00,218503.00,53625.00,87401.00,18644.00,4123.00,1243.00,8.18,4.09,2.73,621.00,4.09,2.04,1.36,405.00,2.66,1.33,0.89,275.00,6.71,4.91,3.93,137.00,3.34,2.45,1.96,90.00,2.20,1.61,1.29
"Nashville, TN",7810.00,1118.00,2987.00,5398.00,317.00,717.00,2282662.00,410987.00,913065.00,189100.00,40380.00,12607.00,4.22,2.34,1.61,6303.00,2.11,1.17,0.81,4111.00,1.38,0.76,0.53,2692.00,8.49,3.75,2.41,1346.00,4.25,1.88,1.20,878.00,2.77,1.22,0.79
"Neenah, WI",447.00,46.00,262.00,355.00,25.00,35.00,191863.00,39899.00,76745.00,16098.00,3491.00,1073.00,4.10,3.02,2.40,537.00,2.05,1.51,1.20,350.00,1.34,0.99,0.78,233.00,9.32,6.66,5.07,116.00,4.64,3.31,2.52,76.00,3.04,2.17,1.65
"New Brunswick, NJ",2177.00,213.00,616.00,1397.00,126.00,170.00,845392.00,153380.00,338157.00,70078.00,14976.00,4672.00,7.58,3.34,2.15,2336.00,3.79,1.67,1.07,1523.00,2.47,1.09,0.70,998.00,7.92,5.87,4.69,499.00,3.96,2.94,2.34,326.00,2.59,1.92,1.53
"New Haven, CT",2825.00,286.00,610.00,1717.00,118.00,202.00,1177072.00,244084.00,470829.00,98733.00,21403.00,6582.00,10.79,3.83,2.33,3291.00,5.40,1.92,1.16,2146.00,3.52,1.25,0.76,1427.00,12.09,7.06,4.99,713.00,6.04,3.53,2.49,465.00,3.94,2.30,1.63
"New Orleans, LA",2491.00,313.00,869.00,1680.00,77.00,195.00,554325.00,92037.00,221730.00,45626.00,9666.00,3042.00,3.50,1.81,1.22,1521.00,1.75,0.91,0.61,992.00,1.14,0.59,0.40,644.00,8.36,3.30,2.06,322.00,4.18,1.65,1.03,210.00,2.73,1.08,0.67
"Newark, NJ",3636.00,403.00,1033.00,2334.00,195.00,299.00,1233539.00,198090.00,493416.00,101276.00,21388.00,6752.00,6.54,2.89,1.86,3376.00,3.27,1.45,0.93,2202.00,2.13,0.94,0.61,1426.00,7.31,4.77,3.54,713.00,3.66,2.38,1.77,465.00,2.38,1.56,1.15
"Newport News, VA",905.00,145.00,251.00,578.00,45.00,95.00,447424.00,89385.00,178970.00,37401.00,8074.00,2493.00,9.93,4.31,2.75,1247.00,4.97,2.16,1.38,813.00,3.24,1.41,0.90,538.00,11.96,5.66,3.71,269.00,5.98,2.83,1.86,176.00,3.91,1.85,1.21
"Norfolk, VA",2543.00,276.00,782.00,1663.00,82.00,179.00,1023500.00,174191.00,409400.00,84405.00,17923.00,5627.00,7.20,3.38,2.21,2814.00,3.60,1.69,1.11,1835.00,2.35,1.10,0.72,1195.00,14.57,6.68,4.33,597.00,7.28,3.34,2.16,390.00,4.76,2.18,1.41
"Ocala, FL",902.00,150.00,289.00,596.00,51.00,100.00,449792.00,185054.00,179917.00,41216.00,9835.00,2748.00,9.51,4.61,3.05,1374.00,4.75,2.31,1.52,896.00,3.10,1.50,0.99,656.00,12.86,6.56,4.37,328.00,6.43,3.28,2.19,214.00,4.20,2.14,1.43
"Odessa, TX",1014.00,101.00,543.00,779.00,38.00,70.00,283753.00,43182.00,113501.00,23206.00,4877.00,1547.00,2.85,1.99,1.53,774.00,1.43,0.99,0.76,504.00,0.93,0.65,0.50,325.00,8.55,4.64,3.22,163.00,4.29,2.33,1.61,106.00,2.79,1.51,1.05
"Ogden, UT",750.00,110.00,371.00,561.00,42.00,76.00,356000.00,51907.00,142400.00,29028.00,6078.00,1935.00,5.22,3.45,2.58,968.00,2.61,1.73,1.29,631.00,1.70,1.12,0.84,405.00,9.64,5.33,3.68,203.00,4.83,2.67,1.85,132.00,3.14,1.74,1.20
"Oklahoma City, OK",5541.00,582.00,2447.00,3994.00,225.00,404.00,1491485.00,279037.00,596594.00,123956.00,26574.00,8264.00,3.38,2.07,1.49,4132.00,1.69,1.03,0.75,2695.00,1.10,0.67,0.49,1772.00,7.88,4.39,3.04,886.00,3.94,2.19,1.52,578.00,2.57,1.43,0.99
"Olympia, WA",558.00,84.00,173.00,365.00,25.00,54.00,320156.00,71021.00,128062.00,27031.00,5905.00,1802.00,10.42,4.94,3.23,901.00,5.21,2.47,1.61,588.00,3.40,1.61,1.05,394.00,15.76,7.30,4.69,197.00,7.88,3.65,2.35,128.00,5.12,2.37,1.52
"Omaha, NE",4017.00,449.00,1742.00,2879.00,184.00,317.00,1010995.00,195073.00,404398.00,84248.00,18120.00,5617.00,3.22,1.95,1.40,2808.00,1.61,0.98,0.70,1831.00,1.05,0.64,0.46,1208.00,6.57,3.81,2.69,604.00,3.28,1.91,1.35,394.00,2.14,1.24,0.88
"Orange County, CA",5813.00,690.00,2236.00,4024.00,293.00,491.00,2662559.00,456181.00,1065024.00,219689.00,46681.00,14646.00,6.55,3.64,2.52,7323.00,3.28,1.82,1.26,4776.00,2.14,1.19,0.82,3112.00,10.62,6.34,4.51,1556.00,5.31,3.17,2.26,1015.00,3.46,2.07,1.47
"Orlando, FL",10004.00,1284.00,3292.00,6648.00,448.00,866.00,3130935.00,714153.00,1252374.00,265089.00,58101.00,17673.00,5.37,2.66,1.77,8836.00,2.68,1.33,0.88,5763.00,1.75,0.87,0.58,3873.00,8.65,4.47,3.02,1937.00,4.32,2.24,1.51,1263.00,2.82,1.46,0.98
"Ormond Beach, FL",872.00,158.00,359.00,616.00,63.00,110.00,338880.00,108815.00,135552.00,29890.00,6858.00,1993.00,5.55,3.24,2.29,996.00,2.77,1.62,1.14,650.00,1.81,1.06,0.75,457.00,7.25,4.15,2.89,229.00,3.63,2.08,1.45,149.00,2.37,1.35,0.94
"Owensboro, KY",390.00,36.00,175.00,282.00,14.00,25.00,112038.00,24900.00,44815.00,9461.00,2067.00,631.00,3.61,2.24,1.62,315.00,1.80,1.12,0.81,206.00,1.18,0.73,0.53,138.00,9.86,5.52,3.83,69.00,4.93,2.76,1.92,45.00,3.21,1.80,1.25
"Oxford, MS",835.00,29.00,344.00,589.00,15.00,22.00,116854.00,21977.00,46742.00,9716.00,2084.00,648.00,1.88,1.10,0.78,324.00,0.94,0.55,0.39,211.00,0.61,0.36,0.25,139.00,9.27,6.32,4.79,69.00,4.60,3.14,2.38,45.00,3.00,2.05,1.55
"Paducah, KY",1490.00,117.00,779.00,1134.00,57.00,87.00,290227.00,70421.00,116091.00,24733.00,5462.00,1649.00,2.12,1.45,1.11,824.00,1.06,0.73,0.55,538.00,0.69,0.47,0.36,364.00,6.39,4.18,3.11,182.00,3.19,2.09,1.56,119.00,2.09,1.37,1.02
"Palm Springs/Rancho Mira, CA",974.00,69.00,404.00,689.00,23.00,46.00,305976.00,94312.00,122390.00,26838.00,6121.00,1789.00,4.43,2.60,1.84,895.00,2.22,1.30,0.92,583.00,1.44,0.85,0.60,408.00,17.74,8.87,5.91,204.00,8.87,4.43,2.96,133.00,5.78,2.89,1.93
"Paterson, NJ",1164.00,84.00,527.00,845.00,12.00,48.00,310775.00,60087.00,124310.00,25902.00,5572.00,1727.00,3.28,2.04,1.48,863.00,1.64,1.02,0.74,563.00,1.07,0.67,0.48,371.00,30.92,7.73,4.42,186.00,15.50,3.88,2.21,121.00,10.08,2.52,1.44
"Pensacola, FL",2001.00,230.00,755.00,1378.00,91.00,160.00,636854.00,130505.00,254742.00,53360.00,11552.00,3557.00,4.71,2.58,1.78,1779.00,2.36,1.29,0.89,1160.00,1.54,0.84,0.58,770.00,8.46,4.81,3.35,385.00,4.23,2.41,1.67,251.00,2.76,1.57,1.09
"Peoria, IL",1725.00,156.00,643.00,1184.00,71.00,114.00,469070.00,106095.00,187628.00,39681.00,8688.00,2645.00,4.11,2.23,1.53,1323.00,2.06,1.12,0.77,863.00,1.34,0.73,0.50,579.00,8.15,5.08,3.71,290.00,4.08,2.54,1.86,189.00,2.66,1.66,1.21
"Petoskey, MI",476.00,68.00,178.00,327.00,22.00,45.00,142627.00,37819.00,57051.00,12277.00,2742.00,818.00,4.60,2.50,1.72,409.00,2.30,1.25,0.86,267.00,1.50,0.82,0.56,183.00,8.32,4.07,2.69,91.00,4.14,2.02,1.34,60.00,2.73,1.33,0.88
"Philadelphia, PA",10697.00,1257.00,3634.00,7165.00,546.00,902.00,3331376.00,632032.00,1332550.00,277202.00,59513.00,18480.00,5.09,2.58,1.73,9240.00,2.54,1.29,0.86,6026.00,1.66,0.84,0.56,3968.00,7.27,4.40,3.16,1984.00,3.63,2.20,1.58,1294.00,2.37,1.43,1.03
"Phoenix, AZ",6977.00,957.00,2567.00,4772.00,416.00,687.00,2761090.00,532669.00,1104436.00,230084.00,49485.00,15339.00,5.98,3.21,2.20,7669.00,2.99,1.61,1.10,5002.00,1.95,1.05,0.72,3299.00,7.93,4.80,3.45,1650.00,3.97,2.40,1.72,1076.00,2.59,1.57,1.12
"Pittsburgh, PA",8133.00,1079.00,2738.00,5436.00,420.00,749.00,2324172.00,541967.00,929669.00,197232.00,43344.00,13149.00,4.80,2.42,1.62,6574.00,2.40,1.21,0.81,4288.00,1.57,0.79,0.53,2890.00,6.88,3.86,2.68,1445.00,3.44,1.93,1.34,942.00,2.24,1.26,0.87
"Pontiac, MI",911.00,95.00,321.00,616.00,49.00,72.00,376936.00,70983.00,150774.00,31344.00,6724.00,2090.00,6.51,3.39,2.29,1045.00,3.26,1.70,1.15,681.00,2.12,1.11,0.75,448.00,9.14,6.22,4.72,224.00,4.57,3.11,2.36,146.00,2.98,2.03,1.54
"Portland, ME",2524.00,209.00,710.00,1617.00,92.00,151.00,876231.00,194509.00,350492.00,73985.00,16164.00,4932.00,6.95,3.05,1.95,2466.00,3.47,1.53,0.98,1608.00,2.26,0.99,0.64,1078.00,11.72,7.14,5.16,539.00,5.86,3.57,2.58,351.00,3.82,2.32,1.68
"Portland, OR",4684.00,661.00,1737.00,3211.00,278.00,469.00,2215589.00,412976.00,886236.00,184078.00,39447.00,12272.00,7.07,3.82,2.62,6136.00,3.53,1.91,1.31,4002.00,2.30,1.25,0.85,2630.00,9.46,5.61,3.98,1315.00,4.73,2.80,1.99,858.00,3.09,1.83,1.30
"Providence, RI",2249.00,293.00,690.00,1470.00,82.00,188.00,986702.00,192737.00,394681.00,82313.00,17727.00,5488.00,7.95,3.73,2.44,2744.00,3.98,1.87,1.22,1789.00,2.59,1.22,0.80,1182.00,14.41,6.29,4.03,591.00,7.21,3.14,2.02,385.00,4.70,2.05,1.31
"Provo, UT",941.00,122.00,387.00,664.00,52.00,87.00,436975.00,52585.00,174790.00,35208.00,7259.00,2347.00,6.06,3.53,2.49,1174.00,3.03,1.77,1.25,765.00,1.98,1.15,0.81,484.00,9.31,5.56,3.97,242.00,4.65,2.78,1.98,158.00,3.04,1.82,1.30
"Pueblo, CO",615.00,28.00,238.00,426.00,7.00,17.00,138550.00,32449.00,55420.00,11763.00,2586.00,784.00,3.29,1.84,1.27,392.00,1.65,0.92,0.64,256.00,1.08,0.60,0.42,172.00,24.57,10.12,6.14,86.00,12.29,5.06,3.07,56.00,8.00,3.29,2.00
"Raleigh, NC",3560.00,375.00,1124.00,2342.00,160.00,267.00,1670043.00,272076.00,668017.00,137262.00,29026.00,9151.00,8.14,3.91,2.57,4575.00,4.07,1.95,1.29,2984.00,2.65,1.27,0.84,1935.00,12.09,7.25,5.16,968.00,6.05,3.63,2.58,631.00,3.94,2.36,1.68
"Rapid City, SD",878.00,46.00,343.00,610.00,20.00,33.00,173590.00,37388.00,69436.00,14614.00,3181.00,974.00,2.84,1.60,1.11,487.00,1.42,0.80,0.55,318.00,0.93,0.52,0.36,212.00,10.60,6.42,4.61,106.00,5.30,3.21,2.30,69.00,3.45,2.09,1.50
"Reading, PA",1329.00,99.00,559.00,944.00,50.00,75.00,466917.00,99775.00,186767.00,39277.00,8543.00,2618.00,4.68,2.77,1.97,1309.00,2.34,1.39,0.98,854.00,1.53,0.90,0.64,570.00,11.40,7.60,5.76,285.00,5.70,3.80,2.88,186.00,3.72,2.48,1.88
"Redding, CA",786.00,109.00,284.00,535.00,58.00,83.00,276179.00,64591.00,110472.00,23444.00,5154.00,1563.00,5.50,2.92,1.99,781.00,2.75,1.46,0.99,510.00,1.80,0.95,0.65,344.00,5.93,4.14,3.16,172.00,2.97,2.07,1.58,112.00,1.93,1.35,1.03
"Reno, NV",1886.00,406.00,660.00,1273.00,128.00,267.00,605953.00,127753.00,242381.00,50907.00,11056.00,3394.00,5.14,2.67,1.80,1697.00,2.57,1.33,0.90,1107.00,1.68,0.87,0.59,737.00,5.76,2.76,1.82,369.00,2.88,1.38,0.91,240.00,1.88,0.90,0.59
"Richmond, VA",4478.00,465.00,1488.00,2983.00,144.00,305.00,1409076.00,264187.00,563630.00,117129.00,25116.00,7809.00,5.25,2.62,1.74,3904.00,2.62,1.31,0.87,2546.00,1.71,0.85,0.57,1674.00,11.63,5.49,3.60,837.00,5.81,2.74,1.80,546.00,3.79,1.79,1.17
"Ridgewood, NJ",814.00,83.00,275.00,544.00,35.00,59.00,338732.00,65551.00,135493.00,28235.00,6074.00,1882.00,6.84,3.46,2.31,941.00,3.42,1.73,1.16,614.00,2.23,1.13,0.75,405.00,11.57,6.86,4.88,202.00,5.77,3.42,2.43,132.00,3.77,2.24,1.59
"Roanoke, VA",2189.00,272.00,593.00,1391.00,113.00,192.00,569741.00,127897.00,227896.00,48160.00,10536.00,3211.00,5.41,2.31,1.47,1605.00,2.71,1.15,0.73,1047.00,1.77,0.75,0.48,702.00,6.21,3.66,2.58,351.00,3.11,1.83,1.29,229.00,2.03,1.19,0.84
"Rochester, MN",1835.00,240.00,594.00,1215.00,90.00,165.00,320367.00,71522.00,128147.00,27066.00,5917.00,1804.00,3.04,1.48,0.98,902.00,1.52,0.74,0.49,588.00,0.99,0.48,0.32,394.00,4.38,2.39,1.64,197.00,2.19,1.19,0.82,129.00,1.43,0.78,0.54
"Rochester, NY",3766.00,289.00,827.00,2297.00,87.00,188.00,1036499.00,211611.00,414600.00,86815.00,18787.00,5788.00,7.00,2.52,1.54,2894.00,3.50,1.26,0.77,1887.00,2.28,0.82,0.50,1252.00,14.39,6.66,4.33,626.00,7.20,3.33,2.17,408.00,4.69,2.17,1.41
"Rockford, IL",1320.00,199.00,613.00,966.00,96.00,147.00,552131.00,118035.00,220852.00,46447.00,10103.00,3096.00,5.05,3.20,2.35,1548.00,2.53,1.60,1.17,1010.00,1.65,1.05,0.77,674.00,7.02,4.59,3.39,337.00,3.51,2.29,1.69,220.00,2.29,1.50,1.11
"Rome, GA",733.00,74.00,229.00,481.00,16.00,45.00,221920.00,45706.00,88768.00,18603.00,4030.00,1240.00,5.41,2.58,1.69,620.00,2.71,1.29,0.85,404.00,1.76,0.84,0.55,269.00,16.81,5.98,3.64,134.00,8.38,2.98,1.81,88.00,5.50,1.96,1.19
"Royal Oak, MI",2781.00,324.00,858.00,1819.00,97.00,211.00,556198.00,117512.00,222479.00,46736.00,10153.00,3116.00,3.63,1.71,1.12,1558.00,1.82,0.86,0.56,1016.00,1.18,0.56,0.37,677.00,6.98,3.21,2.09,338.00,3.48,1.60,1.04,221.00,2.28,1.05,0.68
"Sacramento, CA",4381.00,616.00,1315.00,2848.00,224.00,420.00,2076640.00,403030.00,830656.00,173140.00,37261.00,11543.00,8.78,4.05,2.63,5771.00,4.39,2.03,1.32,3764.00,2.86,1.32,0.86,2484.00,11.09,5.91,4.03,1242.00,5.54,2.96,2.02,810.00,3.62,1.93,1.31
"Saginaw, MI",2396.00,208.00,962.00,1679.00,63.00,136.00,489824.00,124235.00,195930.00,41948.00,9316.00,2797.00,2.91,1.67,1.17,1398.00,1.45,0.83,0.58,912.00,0.95,0.54,0.38,621.00,9.86,4.57,2.99,311.00,4.94,2.29,1.50,203.00,3.22,1.49,0.98
"Salem, OR",487.00,64.00,154.00,321.00,10.00,37.00,255161.00,50897.00,102064.00,21326.00,4603.00,1422.00,9.23,4.43,2.92,711.00,4.62,2.21,1.46,464.00,3.01,1.45,0.95,307.00,30.70,8.30,4.80,153.00,15.30,4.14,2.39,100.00,10.00,2.70,1.56
"Salinas, CA",740.00,70.00,290.00,515.00,37.00,54.00,303247.00,51843.00,121299.00,25017.00,5315.00,1668.00,5.75,3.24,2.25,834.00,2.88,1.62,1.13,544.00,1.88,1.06,0.74,354.00,9.57,6.56,5.06,177.00,4.78,3.28,2.53,116.00,3.14,2.15,1.66
"Salisbury, MD",598.00,59.00,187.00,392.00,26.00,43.00,371513.00,100254.00,148605.00,32045.00,7174.00,2136.00,11.42,5.45,3.57,1068.00,5.71,2.72,1.79,697.00,3.73,1.78,1.17,478.00,18.38,11.12,8.10,239.00,9.19,5.56,4.05,156.00,6.00,3.63,2.64
"Salt Lake City, UT",3999.00,526.00,1804.00,2902.00,277.00,402.00,1552687.00,249737.00,621075.00,127494.00,26929.00,8500.00,4.71,2.93,2.13,4250.00,2.36,1.46,1.06,2772.00,1.54,0.96,0.69,1795.00,6.48,4.47,3.41,898.00,3.24,2.23,1.71,585.00,2.11,1.46,1.11
"San Angelo, TX",584.00,35.00,323.00,454.00,17.00,26.00,126084.00,26085.00,50434.00,10574.00,2292.00,705.00,2.18,1.55,1.21,352.00,1.09,0.78,0.60,230.00,0.71,0.51,0.39,153.00,9.00,5.88,4.37,76.00,4.47,2.92,2.17,50.00,2.94,1.92,1.43
"San Antonio, TX",6234.00,747.00,2477.00,4356.00,216.00,482.00,2191766.00,376149.00,876706.00,180868.00,38439.00,12058.00,4.87,2.77,1.93,6029.00,2.43,1.38,0.97,3932.00,1.59,0.90,0.63,2563.00,11.87,5.32,3.43,1281.00,5.93,2.66,1.71,836.00,3.87,1.73,1.12
"San Bernardino, CA",5691.00,690.00,2125.00,3908.00,231.00,460.00,2406889.00,366977.00,962756.00,196869.00,41379.00,13125.00,6.18,3.36,2.31,6562.00,3.09,1.68,1.15,4280.00,2.01,1.10,0.75,2759.00,11.94,6.00,4.00,1379.00,5.97,3.00,2.00,900.00,3.90,1.96,1.30
"San Diego, CA",6178.00,802.00,1949.00,4064.00,358.00,580.00,3005567.00,497077.00,1202227.00,247312.00,52373.00,16487.00,8.46,4.06,2.67,8244.00,4.23,2.03,1.33,5376.00,2.76,1.32,0.87,3492.00,9.75,6.02,4.35,1746.00,4.88,3.01,2.18,1139.00,3.18,1.96,1.42
"San Francisco, CA",3776.00,439.00,1139.00,2458.00,203.00,321.00,1272753.00,236390.00,509101.00,105712.00,22645.00,7047.00,6.19,2.87,1.87,3524.00,3.09,1.43,0.93,2298.00,2.02,0.93,0.61,1510.00,7.44,4.70,3.44,755.00,3.72,2.35,1.72,492.00,2.42,1.53,1.12
"San Jose, CA",2547.00,341.00,916.00,1731.00,146.00,244.00,1456607.00,234573.00,582643.00,119616.00,25267.00,7974.00,8.71,4.61,3.13,3987.00,4.35,2.30,1.57,2600.00,2.84,1.50,1.02,1684.00,11.53,6.90,4.94,842.00,5.77,3.45,2.47,549.00,3.76,2.25,1.61
"San Luis Obispo, CA",390.00,54.00,202.00,296.00,33.00,44.00,213703.00,46965.00,85481.00,18026.00,3934.00,1202.00,5.95,4.06,3.08,601.00,2.98,2.03,1.54,392.00,1.94,1.32,1.01,262.00,7.94,5.95,4.85,131.00,3.97,2.98,2.43,86.00,2.61,1.95,1.59
"San Mateo County, CA",1555.00,198.00,452.00,1003.00,88.00,143.00,666874.00,128195.00,266750.00,55554.00,11944.00,3704.00,8.19,3.69,2.38,1852.00,4.10,1.85,1.19,1208.00,2.67,1.20,0.78,796.00,9.05,5.57,4.02,398.00,4.52,2.78,2.01,260.00,2.95,1.82,1.31
"Santa Barbara, CA",858.00,82.00,246.00,552.00,35.00,59.00,359828.00,67153.00,143931.00,29899.00,6408.00,1993.00,8.10,3.61,2.32,997.00,4.05,1.81,1.16,650.00,2.64,1.18,0.76,427.00,12.20,7.24,5.21,214.00,6.11,3.63,2.61,139.00,3.97,2.36,1.70
"Santa Cruz, CA",359.00,22.00,169.00,264.00,6.00,14.00,229413.00,39590.00,91765.00,18940.00,4027.00,1263.00,7.47,4.78,3.52,631.00,3.73,2.39,1.76,412.00,2.44,1.56,1.15,268.00,44.67,19.14,12.18,134.00,22.33,9.57,6.09,88.00,14.67,6.29,4.00
