HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Memphis, TN",5054.00,543.00,2045.00,3549.00,139.00,341.00,1366198.00,246308.00,273240.00,56595.00,12087.00,3773.00,1.84,1.06,0.75,1886.00,0.92,0.53,0.37,1230.00,0.60,0.35,0.24,806.00,5.80,2.36,1.48,403.00,2.90,1.18,0.74,263.00,1.89,0.77,0.48
"Meridian, MS",1117.00,57.00,445.00,781.00,19.00,38.00,148060.00,32340.00,29612.00,6241.00,1361.00,416.00,0.93,0.53,0.37,208.00,0.47,0.27,0.19,136.00,0.31,0.17,0.12,91.00,4.79,2.39,1.60,45.00,2.37,1.18,0.79,30.00,1.58,0.79,0.53
"Mesa, AZ",2091.00,291.00,648.00,1370.00,108.00,200.00,1135619.00,212738.00,227124.00,47196.00,10119.00,3146.00,4.85,2.30,1.50,1573.00,2.43,1.15,0.75,1026.00,1.58,0.75,0.49,675.00,6.25,3.38,2.32,337.00,3.12,1.69,1.16,220.00,2.04,1.10,0.76
"Metairie, LA",857.00,111.00,406.00,631.00,44.00,78.00,366346.00,76217.00,73269.00,15369.00,3333.00,1025.00,2.52,1.62,1.20,512.00,1.26,0.81,0.60,334.00,0.82,0.53,0.39,222.00,5.05,2.85,2.00,111.00,2.52,1.42,1.00,72.00,1.64,0.92,0.65
"Miami, FL",9139.00,981.00,2952.00,6045.00,280.00,630.00,2741481.00,526396.00,548296.00,114178.00,24544.00,7612.00,2.58,1.26,0.83,3806.00,1.29,0.63,0.42,2482.00,0.84,0.41,0.27,1636.00,5.84,2.60,1.67,818.00,2.92,1.30,0.83,534.00,1.91,0.85,0.54
"Milwaukee, WI",5263.00,818.00,2207.00,3735.00,323.00,570.00,2079205.00,380644.00,415841.00,86242.00,18447.00,5749.00,2.60,1.54,1.09,2875.00,1.30,0.77,0.55,1875.00,0.85,0.50,0.36,1230.00,3.81,2.16,1.50,615.00,1.90,1.08,0.75,401.00,1.24,0.70,0.49
"Minneapolis, MN",6954.00,612.00,2458.00,4706.00,238.00,425.00,2570355.00,478271.00,514071.00,106761.00,22874.00,7117.00,2.90,1.51,1.02,3559.00,1.45,0.76,0.51,2321.00,0.94,0.49,0.33,1525.00,6.41,3.59,2.49,762.00,3.20,1.79,1.25,497.00,2.09,1.17,0.81
"Minot, ND",916.00,19.00,384.00,650.00,9.00,14.00,112434.00,19303.00,22487.00,4639.00,986.00,309.00,0.80,0.48,0.34,155.00,0.40,0.24,0.17,101.00,0.26,0.16,0.11,66.00,7.33,4.71,3.47,33.00,3.67,2.36,1.74,21.00,2.33,1.50,1.11
"Missoula, MT",1002.00,79.00,455.00,729.00,39.00,59.00,315091.00,74302.00,63018.00,13385.00,2946.00,892.00,1.96,1.22,0.89,446.00,0.98,0.61,0.45,291.00,0.64,0.40,0.29,196.00,5.03,3.32,2.48,98.00,2.51,1.66,1.24,64.00,1.64,1.08,0.81
"Mobile, AL",2066.00,282.00,695.00,1380.00,101.00,191.00,648957.00,135227.00,129791.00,27230.00,5906.00,1815.00,2.61,1.32,0.88,908.00,1.31,0.66,0.44,592.00,0.85,0.43,0.29,394.00,3.90,2.06,1.40,197.00,1.95,1.03,0.70,128.00,1.27,0.67,0.45
"Modesto, CA",1478.00,118.00,467.00,972.00,44.00,81.00,680976.00,119559.00,136195.00,28149.00,5996.00,1877.00,4.02,1.93,1.27,938.00,2.01,0.97,0.63,612.00,1.31,0.63,0.41,400.00,9.09,4.94,3.39,200.00,4.55,2.47,1.69,130.00,2.95,1.60,1.10
"Monroe, LA",1064.00,102.00,561.00,813.00,36.00,69.00,204787.00,41070.00,40957.00,8562.00,1849.00,571.00,1.02,0.70,0.54,285.00,0.51,0.35,0.27,186.00,0.33,0.23,0.17,123.00,3.42,1.78,1.21,62.00,1.72,0.90,0.61,40.00,1.11,0.58,0.39
"Montgomery, AL",1225.00,131.00,461.00,843.00,61.00,96.00,360863.00,68023.00,72173.00,15005.00,3219.00,1000.00,2.17,1.19,0.82,500.00,1.08,0.59,0.41,326.00,0.71,0.39,0.27,215.00,3.52,2.24,1.64,107.00,1.75,1.11,0.82,70.00,1.15,0.73,0.53
"Morgantown, WV",1555.00,155.00,499.00,1027.00,40.00,97.00,329288.00,68760.00,65858.00,13819.00,2998.00,921.00,1.85,0.90,0.59,461.00,0.92,0.45,0.30,300.00,0.60,0.29,0.19,200.00,5.00,2.06,1.29,100.00,2.50,1.03,0.65,65.00,1.63,0.67,0.42
"Morristown, NJ",1862.00,147.00,589.00,1226.00,54.00,101.00,795142.00,157620.00,159028.00,33210.00,7163.00,2214.00,3.76,1.81,1.19,1107.00,1.88,0.90,0.59,722.00,1.23,0.59,0.39,478.00,8.85,4.73,3.25,239.00,4.43,2.37,1.63,156.00,2.89,1.54,1.06
"Muncie, IN",377.00,36.00,129.00,253.00,8.00,22.00,128803.00,27663.00,25761.00,5420.00,1180.00,361.00,2.80,1.43,0.96,181.00,1.40,0.72,0.48,118.00,0.91,0.47,0.31,79.00,9.88,3.59,2.19,39.00,4.88,1.77,1.08,26.00,3.25,1.18,0.72
"Munster, IN",1500.00,105.00,642.00,1071.00,42.00,74.00,239843.00,45234.00,47969.00,9974.00,2140.00,665.00,1.04,0.62,0.44,332.00,0.52,0.31,0.22,217.00,0.34,0.20,0.14,143.00,3.40,1.93,1.36,71.00,1.69,0.96,0.68,47.00,1.12,0.64,0.45
"Muskegon, MI",501.00,57.00,253.00,377.00,40.00,49.00,209507.00,45654.00,41901.00,8829.00,1925.00,589.00,2.33,1.56,1.18,294.00,1.16,0.78,0.59,192.00,0.76,0.51,0.38,128.00,3.20,2.61,2.25,64.00,1.60,1.31,1.12,42.00,1.05,0.86,0.74
"Napa, CA",456.00,70.00,152.00,304.00,41.00,56.00,218503.00,53625.00,43701.00,9322.00,2062.00,621.00,4.09,2.04,1.36,311.00,2.05,1.02,0.68,203.00,1.34,0.67,0.45,137.00,3.34,2.45,1.96,69.00,1.68,1.23,0.99,45.00,1.10,0.80,0.64
"Nashville, TN",7810.00,1118.00,2987.00,5398.00,317.00,717.00,2282662.00,410987.00,456532.00,94550.00,20190.00,6303.00,2.11,1.17,0.81,3152.00,1.06,0.58,0.40,2055.00,0.69,0.38,0.26,1346.00,4.25,1.88,1.20,673.00,2.12,0.94,0.60,439.00,1.38,0.61,0.39
"Neenah, WI",447.00,46.00,262.00,355.00,25.00,35.00,191863.00,39899.00,38373.00,8049.00,1745.00,537.00,2.05,1.51,1.20,268.00,1.02,0.75,0.60,175.00,0.67,0.49,0.39,116.00,4.64,3.31,2.52,58.00,2.32,1.66,1.26,38.00,1.52,1.09,0.83
"New Brunswick, NJ",2177.00,213.00,616.00,1397.00,126.00,170.00,845392.00,153380.00,169078.00,35039.00,7488.00,2336.00,3.79,1.67,1.07,1168.00,1.90,0.84,0.54,762.00,1.24,0.55,0.35,499.00,3.96,2.94,2.34,250.00,1.98,1.47,1.17,163.00,1.29,0.96,0.77
"New Haven, CT",2825.00,286.00,610.00,1717.00,118.00,202.00,1177072.00,244084.00,235414.00,49366.00,10701.00,3291.00,5.40,1.92,1.16,1646.00,2.70,0.96,0.58,1073.00,1.76,0.62,0.38,713.00,6.04,3.53,2.49,357.00,3.03,1.77,1.25,233.00,1.97,1.15,0.81
"New Orleans, LA",2491.00,313.00,869.00,1680.00,77.00,195.00,554325.00,92037.00,110865.00,22813.00,4833.00,1521.00,1.75,0.91,0.61,760.00,0.87,0.45,0.31,496.00,0.57,0.30,0.20,322.00,4.18,1.65,1.03,161.00,2.09,0.83,0.51,105.00,1.36,0.54,0.34
"Newark, NJ",3636.00,403.00,1033.00,2334.00,195.00,299.00,1233539.00,198090.00,246708.00,50638.00,10694.00,3376.00,3.27,1.45,0.93,1688.00,1.63,0.72,0.46,1101.00,1.07,0.47,0.30,713.00,3.66,2.38,1.77,356.00,1.83,1.19,0.88,232.00,1.19,0.78,0.58
"Newport News, VA",905.00,145.00,251.00,578.00,45.00,95.00,447424.00,89385.00,89485.00,18700.00,4037.00,1247.00,4.97,2.16,1.38,623.00,2.48,1.08,0.69,407.00,1.62,0.70,0.45,269.00,5.98,2.83,1.86,135.00,3.00,1.42,0.93,88.00,1.96,0.93,0.61
"Norfolk, VA",2543.00,276.00,782.00,1663.00,82.00,179.00,1023500.00,174191.00,204700.00,42203.00,8962.00,2814.00,3.60,1.69,1.11,1407.00,1.80,0.85,0.55,917.00,1.17,0.55,0.36,597.00,7.28,3.34,2.16,299.00,3.65,1.67,1.08,195.00,2.38,1.09,0.71
"Ocala, FL",902.00,150.00,289.00,596.00,51.00,100.00,449792.00,185054.00,89958.00,20608.00,4918.00,1374.00,4.75,2.31,1.52,687.00,2.38,1.15,0.76,448.00,1.55,0.75,0.50,328.00,6.43,3.28,2.19,164.00,3.22,1.64,1.09,107.00,2.10,1.07,0.71
"Odessa, TX",1014.00,101.00,543.00,779.00,38.00,70.00,283753.00,43182.00,56751.00,11603.00,2438.00,774.00,1.43,0.99,0.76,387.00,0.71,0.50,0.38,252.00,0.46,0.32,0.25,163.00,4.29,2.33,1.61,81.00,2.13,1.16,0.80,53.00,1.39,0.76,0.52
"Ogden, UT",750.00,110.00,371.00,561.00,42.00,76.00,356000.00,51907.00,71200.00,14514.00,3039.00,968.00,2.61,1.73,1.29,484.00,1.30,0.86,0.65,316.00,0.85,0.56,0.42,203.00,4.83,2.67,1.85,101.00,2.40,1.33,0.92,66.00,1.57,0.87,0.60
"Oklahoma City, OK",5541.00,582.00,2447.00,3994.00,225.00,404.00,1491485.00,279037.00,298297.00,61978.00,13287.00,4132.00,1.69,1.03,0.75,2066.00,0.84,0.52,0.37,1347.00,0.55,0.34,0.24,886.00,3.94,2.19,1.52,443.00,1.97,1.10,0.76,289.00,1.28,0.72,0.50
"Olympia, WA",558.00,84.00,173.00,365.00,25.00,54.00,320156.00,71021.00,64031.00,13515.00,2952.00,901.00,5.21,2.47,1.61,450.00,2.60,1.23,0.81,294.00,1.70,0.81,0.53,197.00,7.88,3.65,2.35,98.00,3.92,1.81,1.17,64.00,2.56,1.19,0.76
"Omaha, NE",4017.00,449.00,1742.00,2879.00,184.00,317.00,1010995.00,195073.00,202199.00,42124.00,9060.00,2808.00,1.61,0.98,0.70,1404.00,0.81,0.49,0.35,916.00,0.53,0.32,0.23,604.00,3.28,1.91,1.35,302.00,1.64,0.95,0.67,197.00,1.07,0.62,0.44
"Orange County, CA",5813.00,690.00,2236.00,4024.00,293.00,491.00,2662559.00,456181.00,532512.00,109845.00,23341.00,7323.00,3.28,1.82,1.26,3662.00,1.64,0.91,0.63,2388.00,1.07,0.59,0.41,1556.00,5.31,3.17,2.26,778.00,2.66,1.58,1.13,507.00,1.73,1.03,0.73
"Orlando, FL",10004.00,1284.00,3292.00,6648.00,448.00,866.00,3130935.00,714153.00,626187.00,132544.00,29051.00,8836.00,2.68,1.33,0.88,4418.00,1.34,0.66,0.44,2881.00,0.88,0.43,0.29,1937.00,4.32,2.24,1.51,968.00,2.16,1.12,0.75,632.00,1.41,0.73,0.49
"Ormond Beach, FL",872.00,158.00,359.00,616.00,63.00,110.00,338880.00,108815.00,67776.00,14945.00,3429.00,996.00,2.77,1.62,1.14,498.00,1.39,0.81,0.57,325.00,0.91,0.53,0.37,229.00,3.63,2.08,1.45,114.00,1.81,1.04,0.72,75.00,1.19,0.68,0.47
"Owensboro, KY",390.00,36.00,175.00,282.00,14.00,25.00,112038.00,24900.00,22408.00,4731.00,1034.00,315.00,1.80,1.12,0.81,158.00,0.90,0.56,0.41,103.00,0.59,0.37,0.26,69.00,4.93,2.76,1.92,34.00,2.43,1.36,0.94,22.00,1.57,0.88,0.61
"Oxford, MS",835.00,29.00,344.00,589.00,15.00,22.00,116854.00,21977.00,23371.00,4858.00,1042.00,324.00,0.94,0.55,0.39,162.00,0.47,0.28,0.19,106.00,0.31,0.18,0.13,69.00,4.60,3.14,2.38,35.00,2.33,1.59,1.21,23.00,1.53,1.05,0.79
"Paducah, KY",1490.00,117.00,779.00,1134.00,57.00,87.00,290227.00,70421.00,58045.00,12367.00,2731.00,824.00,1.06,0.73,0.55,412.00,0.53,0.36,0.28,269.00,0.35,0.24,0.18,182.00,3.19,2.09,1.56,91.00,1.60,1.05,0.78,59.00,1.04,0.68,0.50
"Palm Springs/Rancho Mira, CA",974.00,69.00,404.00,689.00,23.00,46.00,305976.00,94312.00,61195.00,13419.00,3060.00,895.00,2.22,1.30,0.92,447.00,1.11,0.65,0.46,292.00,0.72,0.42,0.30,204.00,8.87,4.43,2.96,102.00,4.43,2.22,1.48,67.00,2.91,1.46,0.97
"Paterson, NJ",1164.00,84.00,527.00,845.00,12.00,48.00,310775.00,60087.00,62155.00,12951.00,2786.00,863.00,1.64,1.02,0.74,432.00,0.82,0.51,0.37,282.00,0.54,0.33,0.24,186.00,15.50,3.88,2.21,93.00,7.75,1.94,1.11,61.00,5.08,1.27,0.73
"Pensacola, FL",2001.00,230.00,755.00,1378.00,91.00,160.00,636854.00,130505.00,127371.00,26680.00,5776.00,1779.00,2.36,1.29,0.89,889.00,1.18,0.65,0.44,580.00,0.77,0.42,0.29,385.00,4.23,2.41,1.67,193.00,2.12,1.21,0.84,126.00,1.38,0.79,0.55
"Peoria, IL",1725.00,156.00,643.00,1184.00,71.00,114.00,469070.00,106095.00,93814.00,19840.00,4344.00,1323.00,2.06,1.12,0.77,661.00,1.03,0.56,0.38,431.00,0.67,0.36,0.25,290.00,4.08,2.54,1.86,145.00,2.04,1.27,0.93,94.00,1.32,0.82,0.60
"Petoskey, MI",476.00,68.00,178.00,327.00,22.00,45.00,142627.00,37819.00,28525.00,6138.00,1371.00,409.00,2.30,1.25,0.86,205.00,1.15,0.63,0.43,133.00,0.75,0.41,0.28,91.00,4.14,2.02,1.34,46.00,2.09,1.02,0.68,30.00,1.36,0.67,0.44
"Philadelphia, PA",10697.00,1257.00,3634.00,7165.00,546.00,902.00,3331376.00,632032.00,666275.00,138601.00,29757.00,9240.00,2.54,1.29,0.86,4620.00,1.27,0.64,0.43,3013.00,0.83,0.42,0.28,1984.00,3.63,2.20,1.58,992.00,1.82,1.10,0.79,647.00,1.18,0.72,0.51
"Phoenix, AZ",6977.00,957.00,2567.00,4772.00,416.00,687.00,2761090.00,532669.00,552218.00,115042.00,24742.00,7669.00,2.99,1.61,1.10,3835.00,1.49,0.80,0.55,2501.00,0.97,0.52,0.36,1649.00,3.96,2.40,1.72,825.00,1.98,1.20,0.86,538.00,1.29,0.78,0.56
"Pittsburgh, PA",8133.00,1079.00,2738.00,5436.00,420.00,749.00,2324172.00,541967.00,464834.00,98616.00,21672.00,6574.00,2.40,1.21,0.81,3287.00,1.20,0.60,0.40,2144.00,0.78,0.39,0.26,1445.00,3.44,1.93,1.34,722.00,1.72,0.96,0.67,471.00,1.12,0.63,0.44
"Pontiac, MI",911.00,95.00,321.00,616.00,49.00,72.00,376936.00,70983.00,75387.00,15672.00,3362.00,1045.00,3.26,1.70,1.15,522.00,1.63,0.85,0.57,341.00,1.06,0.55,0.37,224.00,4.57,3.11,2.36,112.00,2.29,1.56,1.18,73.00,1.49,1.01,0.77
"Portland, ME",2524.00,209.00,710.00,1617.00,92.00,151.00,876231.00,194509.00,175246.00,36992.00,8082.00,2466.00,3.47,1.53,0.98,1233.00,1.74,0.76,0.49,804.00,1.13,0.50,0.32,539.00,5.86,3.57,2.58,269.00,2.92,1.78,1.29,176.00,1.91,1.17,0.84
"Portland, OR",4684.00,661.00,1737.00,3211.00,278.00,469.00,2215589.00,412976.00,443118.00,92039.00,19724.00,6136.00,3.53,1.91,1.31,3068.00,1.77,0.96,0.65,2001.00,1.15,0.62,0.43,1315.00,4.73,2.80,1.99,657.00,2.36,1.40,0.99,429.00,1.54,0.91,0.65
"Providence, RI",2249.00,293.00,690.00,1470.00,82.00,188.00,986702.00,192737.00,197340.00,41157.00,8863.00,2744.00,3.98,1.87,1.22,1372.00,1.99,0.93,0.61,895.00,1.30,0.61,0.40,591.00,7.21,3.14,2.02,295.00,3.60,1.57,1.01,193.00,2.35,1.03,0.66
"Provo, UT",941.00,122.00,387.00,664.00,52.00,87.00,436975.00,52585.00,87395.00,17604.00,3630.00,1174.00,3.03,1.77,1.25,587.00,1.52,0.88,0.62,383.00,0.99,0.58,0.41,242.00,4.65,2.78,1.98,121.00,2.33,1.39,0.99,79.00,1.52,0.91,0.65
"Pueblo, CO",615.00,28.00,238.00,426.00,7.00,17.00,138550.00,32449.00,27710.00,5881.00,1293.00,392.00,1.65,0.92,0.64,196.00,0.82,0.46,0.32,128.00,0.54,0.30,0.21,86.00,12.29,5.06,3.07,43.00,6.14,2.53,1.54,28.00,4.00,1.65,1.00
"Raleigh, NC",3560.00,375.00,1124.00,2342.00,160.00,267.00,1670043.00,272076.00,334009.00,68631.00,14513.00,4575.00,4.07,1.95,1.29,2288.00,2.04,0.98,0.64,1492.00,1.33,0.64,0.42,968.00,6.05,3.63,2.58,484.00,3.03,1.81,1.29,316.00,1.98,1.18,0.84
"Rapid City, SD",878.00,46.00,343.00,610.00,20.00,33.00,173590.00,37388.00,34718.00,7307.00,1591.00,487.00,1.42,0.80,0.55,244.00,0.71,0.40,0.28,159.00,0.46,0.26,0.18,106.00,5.30,3.21,2.30,53.00,2.65,1.61,1.15,35.00,1.75,1.06,0.76
"Reading, PA",1329.00,99.00,559.00,944.00,50.00,75.00,466917.00,99775.00,93383.00,19638.00,4272.00,1309.00,2.34,1.39,0.98,655.00,1.17,0.69,0.49,427.00,0.76,0.45,0.32,285.00,5.70,3.80,2.88,142.00,2.84,1.89,1.43,93.00,1.86,1.24,0.94
"Redding, CA",786.00,109.00,284.00,535.00,58.00,83.00,276179.00,64591.00,55236.00,11722.00,2577.00,781.00,2.75,1.46,0.99,391.00,1.38,0.73,0.50,255.00,0.90,0.48,0.32,172.00,2.97,2.07,1.58,86.00,1.48,1.04,0.79,56.00,0.97,0.67,0.51
"Reno, NV",1886.00,406.00,660.00,1273.00,128.00,267.00,605953.00,127753.00,121191.00,25454.00,5528.00,1697.00,2.57,1.33,0.90,848.00,1.28,0.67,0.45,553.00,0.84,0.43,0.29,369.00,2.88,1.38,0.91,184.00,1.44,0.69,0.45,120.00,0.94,0.45,0.30
"Richmond, VA",4478.00,465.00,1488.00,2983.00,144.00,305.00,1409076.00,264187.00,281815.00,58564.00,12558.00,3904.00,2.62,1.31,0.87,1952.00,1.31,0.65,0.44,1273.00,0.86,0.43,0.28,837.00,5.81,2.74,1.80,419.00,2.91,1.37,0.90,273.00,1.90,0.90,0.59
"Ridgewood, NJ",814.00,83.00,275.00,544.00,35.00,59.00,338732.00,65551.00,67746.00,14117.00,3037.00,941.00,3.42,1.73,1.16,471.00,1.71,0.87,0.58,307.00,1.12,0.56,0.38,202.00,5.77,3.42,2.43,101.00,2.89,1.71,1.22,66.00,1.89,1.12,0.80
"Roanoke, VA",2189.00,272.00,593.00,1391.00,113.00,192.00,569741.00,127897.00,113948.00,24080.00,5268.00,1605.00,2.71,1.15,0.73,803.00,1.35,0.58,0.37,523.00,0.88,0.38,0.24,351.00,3.11,1.83,1.29,176.00,1.56,0.92,0.65,115.00,1.02,0.60,0.42
"Rochester, MN",1835.00,240.00,594.00,1215.00,90.00,165.00,320367.00,71522.00,64073.00,13533.00,2959.00,902.00,1.52,0.74,0.49,451.00,0.76,0.37,0.25,294.00,0.49,0.24,0.16,197.00,2.19,1.19,0.82,99.00,1.10,0.60,0.41,64.00,0.71,0.39,0.27
"Rochester, NY",3766.00,289.00,827.00,2297.00,87.00,188.00,1036499.00,211611.00,207300.00,43408.00,9393.00,2894.00,3.50,1.26,0.77,1447.00,1.75,0.63,0.38,944.00,1.14,0.41,0.25,626.00,7.20,3.33,2.17,313.00,3.60,1.66,1.08,204.00,2.34,1.09,0.71
"Rockford, IL",1320.00,199.00,613.00,966.00,96.00,147.00,552131.00,118035.00,110426.00,23224.00,5052.00,1548.00,2.53,1.60,1.17,774.00,1.26,0.80,0.59,505.00,0.82,0.52,0.38,337.00,3.51,2.29,1.69,168.00,1.75,1.14,0.84,110.00,1.15,0.75,0.55
"Rome, GA",733.00,74.00,229.00,481.00,16.00,45.00,221920.00,45706.00,44384.00,9301.00,2015.00,620.00,2.71,1.29,0.85,310.00,1.35,0.64,0.42,202.00,0.88,0.42,0.28,134.00,8.38,2.98,1.81,67.00,4.19,1.49,0.91,44.00,2.75,0.98,0.59
"Royal Oak, MI",2781.00,324.00,858.00,1819.00,97.00,211.00,556198.00,117512.00,111240.00,23368.00,5076.00,1558.00,1.82,0.86,0.56,779.00,0.91,0.43,0.28,508.00,0.59,0.28,0.18,338.00,3.48,1.60,1.04,169.00,1.74,0.80,0.52,110.00,1.13,0.52,0.34
"Sacramento, CA",4381.00,616.00,1315.00,2848.00,224.00,420.00,2076640.00,403030.00,415328.00,86570.00,18631.00,5771.00,4.39,2.03,1.32,2886.00,2.19,1.01,0.66,1882.00,1.43,0.66,0.43,1242.00,5.54,2.96,2.02,621.00,2.77,1.48,1.01,405.00,1.81,0.96,0.66
"Saginaw, MI",2396.00,208.00,962.00,1679.00,63.00,136.00,489824.00,124235.00,97965.00,20974.00,4658.00,1398.00,1.45,0.83,0.58,699.00,0.73,0.42,0.29,456.00,0.47,0.27,0.19,311.00,4.94,2.29,1.50,155.00,2.46,1.14,0.75,101.00,1.60,0.74,0.49
"Salem, OR",487.00,64.00,154.00,321.00,10.00,37.00,255161.00,50897.00,51032.00,10663.00,2302.00,711.00,4.62,2.21,1.46,355.00,2.31,1.11,0.73,232.00,1.51,0.72,0.48,153.00,15.30,4.14,2.39,77.00,7.70,2.08,1.20,50.00,5.00,1.35,0.78
"Salinas, CA",740.00,70.00,290.00,515.00,37.00,54.00,303247.00,51843.00,60649.00,12508.00,2657.00,834.00,2.88,1.62,1.13,417.00,1.44,0.81,0.56,272.00,0.94,0.53,0.37,177.00,4.78,3.28,2.53,89.00,2.41,1.65,1.27,58.00,1.57,1.07,0.83
"Salisbury, MD",598.00,59.00,187.00,392.00,26.00,43.00,371513.00,100254.00,74303.00,16022.00,3587.00,1068.00,5.71,2.72,1.79,534.00,2.86,1.36,0.89,348.00,1.86,0.89,0.58,239.00,9.19,5.56,4.05,120.00,4.62,2.79,2.03,78.00,3.00,1.81,1.32
"Salt Lake City, UT",3999.00,526.00,1804.00,2902.00,277.00,402.00,1552687.00,249737.00,310537.00,63747.00,13464.00,4250.00,2.36,1.46,1.06,2125.00,1.18,0.73,0.53,1386.00,0.77,0.48,0.35,898.00,3.24,2.23,1.71,449.00,1.62,1.12,0.85,293.00,1.06,0.73,0.56
"San Angelo, TX",584.00,35.00,323.00,454.00,17.00,26.00,126084.00,26085.00,25217.00,5287.00,1146.00,352.00,1.09,0.78,0.60,176.00,0.54,0.39,0.30,115.00,0.36,0.25,0.20,76.00,4.47,2.92,2.17,38.00,2.24,1.46,1.09,25.00,1.47,0.96,0.71
"San Antonio, TX",6234.00,747.00,2477.00,4356.00,216.00,482.00,2191766.00,376149.00,438353.00,90434.00,19219.00,6029.00,2.43,1.38,0.97,3014.00,1.22,0.69,0.48,1966.00,0.79,0.45,0.32,1281.00,5.93,2.66,1.71,641.00,2.97,1.33,0.86,418.00,1.94,0.87,0.56
"San Bernardino, CA",5691.00,690.00,2125.00,3908.00,231.00,460.00,2406889.00,366977.00,481378.00,98434.00,20690.00,6562.00,3.09,1.68,1.15,3281.00,1.54,0.84,0.58,2140.00,1.01,0.55,0.38,1379.00,5.97,3.00,2.00,690.00,2.99,1.50,1.00,450.00,1.95,0.98,0.65
"San Diego, CA",6178.00,802.00,1949.00,4064.00,358.00,580.00,3005567.00,497077.00,601113.00,123656.00,26186.00,8244.00,4.23,2.03,1.33,4122.00,2.11,1.01,0.67,2688.00,1.38,0.66,0.44,1746.00,4.88,3.01,2.18,873.00,2.44,1.51,1.09,569.00,1.59,0.98,0.71
"San Francisco, CA",3776.00,439.00,1139.00,2458.00,203.00,321.00,1272753.00,236390.00,254551.00,52856.00,11323.00,3524.00,3.09,1.43,0.93,1762.00,1.55,0.72,0.47,1149.00,1.01,0.47,0.30,755.00,3.72,2.35,1.72,377.00,1.86,1.17,0.86,246.00,1.21,0.77,0.56
"San Jose, CA",2547.00,341.00,916.00,1731.00,146.00,244.00,1456607.00,234573.00,291321.00,59808.00,12634.00,3987.00,4.35,2.30,1.57,1994.00,2.18,1.15,0.78,1300.00,1.42,0.75,0.51,842.00,5.77,3.45,2.47,421.00,2.88,1.73,1.23,275.00,1.88,1.13,0.81
"San Luis Obispo, CA",390.00,54.00,202.00,296.00,33.00,44.00,213703.00,46965.00,42741.00,9013.00,1967.00,601.00,2.98,2.03,1.54,300.00,1.49,1.01,0.77,196.00,0.97,0.66,0.50,131.00,3.97,2.98,2.43,66.00,2.00,1.50,1.22,43.00,1.30,0.98,0.80
"San Mateo County, CA",1555.00,198.00,452.00,1003.00,88.00,143.00,666874.00,128195.00,133375.00,27777.00,5972.00,1852.00,4.10,1.85,1.19,926.00,2.05,0.92,0.60,604.00,1.34,0.60,0.39,398.00,4.52,2.78,2.01,199.00,2.26,1.39,1.01,130.00,1.48,0.91,0.66
"Santa Barbara, CA",858.00,82.00,246.00,552.00,35.00,59.00,359828.00,67153.00,71966.00,14949.00,3204.00,997.00,4.05,1.81,1.16,498.00,2.02,0.90,0.58,325.00,1.32,0.59,0.38,214.00,6.11,3.63,2.61,107.00,3.06,1.81,1.30,70.00,2.00,1.19,0.85
"Santa Cruz, CA",359.00,22.00,169.00,264.00,6.00,14.00,229413.00,39590.00,45883.00,9470.00,2014.00,631.00,3.73,2.39,1.76,316.00,1.87,1.20,0.88,206.00,1.22,0.78,0.57,134.00,22.33,9.57,6.09,67.00,11.17,4.79,3.05,44.00,7.33,3.14,2.00
"Santa Rosa, CA",1272.00,93.00,306.00,789.00,45.00,69.00,402885.00,88435.00,80577.00,16990.00,3707.00,1133.00,3.70,1.44,0.89,566.00,1.85,0.72,0.44,369.00,1.21,0.47,0.29,247.00,5.49,3.58,2.66,124.00,2.76,1.80,1.33,81.00,1.80,1.17,0.87
"Sarasota, FL",1309.00,159.00,604.00,957.00,77.00,118.00,374960.00,156791.00,74992.00,17228.00,4122.00,1149.00,1.90,1.20,0.88,574.00,0.95,0.60,0.44,375.00,0.62,0.39,0.29,275.00,3.57,2.33,1.73,137.00,1.78,1.16,0.86,90.00,1.17,0.76,0.57
